Date,Open,High,Low,Close,Adj Close,Volume,MA_20,MA_50,SHORT_GR_LONG,Signal,Buy & Sell
2022-02-28,3490.0,3563.75,3455.89990234375,3554.199951171875,3512.034912109375,3288942,3716.67998046875,3759.598984375,0,0.0,NULL
2022-03-02,3552.5,3571.949951171875,3506.0,3546.14990234375,3504.08056640625,2761341,3703.95498046875,3759.383984375,0,0.0,NULL
2022-03-03,3562.85009765625,3578.60009765625,3530.10009765625,3544.39990234375,3502.351318359375,1928039,3688.3649780273436,3758.1059814453124,0,0.0,NULL
2022-03-04,3501.5,3561.199951171875,3487.050048828125,3524.35009765625,3482.539306640625,2370257,3673.3524780273438,3755.9779833984376,0,0.0,NULL
2022-03-07,3450.0,3548.0,3431.550048828125,3484.89990234375,3443.55712890625,3054130,3656.8524780273438,3752.421982421875,0,0.0,NULL
2022-03-08,3460.0,3609.0,3460.0,3599.949951171875,3557.242431640625,3300992,3647.8999755859377,3751.0029833984377,0,0.0,NULL
2022-03-09,3605.0,3654.0,3597.050048828125,3632.60009765625,3589.505126953125,2719654,3642.3574829101562,3749.7329833984377,0,0.0,NULL
2022-03-10,3684.0,3684.0,3615.0,3620.949951171875,3577.993408203125,2005441,3635.377478027344,3748.0209814453124,0,0.0,NULL
2022-03-11,3603.25,3639.85009765625,3592.85009765625,3599.14990234375,3556.45166015625,1623423,3626.8174682617187,3746.10998046875,0,0.0,NULL
2022-03-14,3580.0,3648.35009765625,3580.0,3643.0,3599.78173828125,1765688,3624.219970703125,3744.29498046875,0,0.0,NULL
2022-03-15,3659.0,3659.0,3585.39990234375,3593.89990234375,3551.263916015625,3651133,3617.2274658203123,3741.4059765625,0,0.0,NULL
2022-03-16,3640.5,3668.0,3616.25,3655.89990234375,3612.528564453125,3090475,3609.132458496094,3738.168974609375,0,0.0,NULL
2022-03-17,3696.60009765625,3710.0,3660.300048828125,3672.75,3629.178955078125,3600452,3602.114953613281,3733.928974609375,0,0.0,NULL
2022-03-21,3696.0,3713.949951171875,3615.0,3626.699951171875,3583.675048828125,2413831,3594.239953613281,3729.243974609375,0,0.0,NULL
2022-03-22,3640.0,3711.0,3625.0,3700.949951171875,3657.044189453125,2907611,3589.5924560546873,3727.113974609375,0,0.0,NULL
2022-03-23,3708.0,3729.800048828125,3690.0,3712.39990234375,3668.3583984375,1596195,3589.2424560546874,3724.29197265625,0,0.0,NULL
2022-03-24,3700.0,3758.199951171875,3695.0,3749.85009765625,3705.3642578125,1879046,3597.4149658203123,3721.69197265625,0,0.0,NULL
2022-03-25,3759.89990234375,3779.5,3672.0,3707.449951171875,3663.467041015625,1690133,3604.5974609375,3717.5229736328124,0,0.0,NULL
2022-03-28,3695.0,3713.0,3661.199951171875,3707.699951171875,3663.7138671875,1760990,3619.8999633789062,3714.478974609375,0,0.0,NULL
2022-03-29,3694.75,3722.0,3691.0,3705.35009765625,3661.392333984375,2689063,3629.1299682617187,3710.627978515625,0,0.0,NULL
2022-03-30,3738.0,3738.0,3706.199951171875,3731.550048828125,3687.28125,1583455,3637.9974731445313,3705.8959814453124,0,0.0,NULL
2022-03-31,3740.0,3754.64990234375,3720.199951171875,3739.949951171875,3695.58154296875,2168110,3647.6874755859376,3700.311982421875,0,0.0,NULL
2022-04-01,3748.0,3763.0,3728.050048828125,3758.75,3714.15869140625,1387014,3658.40498046875,3695.67498046875,0,0.0,NULL
2022-04-04,3762.0,3780.0,3737.10009765625,3770.35009765625,3725.62109375,1472994,3670.70498046875,3692.788984375,0,0.0,NULL
2022-04-05,3772.0,3835.60009765625,3772.0,3814.800048828125,3769.543701171875,2314947,3687.199987792969,3692.553984375,0,0.0,NULL
2022-04-06,3809.300048828125,3809.300048828125,3731.14990234375,3755.35009765625,3710.798828125,2051729,3694.9699951171874,3690.990986328125,1,1.0,SELL
2022-04-07,3745.5,3745.5,3679.0,3684.14990234375,3640.443359375,2494829,3697.5474853515625,3689.246982421875,1,0.0,NULL
2022-04-08,3690.0,3705.0,3642.5,3685.64990234375,3641.925537109375,2296773,3700.7824829101564,3687.561982421875,1,0.0,NULL
2022-04-11,3690.0,3712.35009765625,3656.10009765625,3696.39990234375,3652.548095703125,2291660,3705.644982910156,3688.50498046875,1,0.0,NULL
2022-04-12,3683.0,3739.0,3648.35009765625,3691.10009765625,3647.31103515625,4483476,3708.0499877929688,3688.5259814453125,1,0.0,NULL
2022-04-13,3707.0,3709.85009765625,3655.550048828125,3661.949951171875,3618.507080078125,1621672,3711.452490234375,3687.03998046875,1,0.0,NULL
2022-04-18,3610.0,3610.0,3522.5,3528.050048828125,3486.1953125,3820792,3705.0599975585938,3681.5879833984377,1,0.0,NULL
2022-04-19,3550.0,3563.550048828125,3439.14990234375,3471.89990234375,3430.71142578125,3170014,3695.0174926757813,3673.901982421875,1,0.0,NULL
2022-04-20,3500.0,3569.14990234375,3480.0,3556.800048828125,3514.604248046875,2640370,3691.522497558594,3668.5459814453125,1,0.0,NULL
2022-04-21,3580.0,3644.0,3567.39990234375,3628.64990234375,3585.601806640625,2280996,3687.9074951171874,3664.8209814453126,1,0.0,NULL
2022-04-22,3581.10009765625,3617.0,3571.5,3612.550048828125,3569.69287109375,1581465,3682.915002441406,3661.491982421875,1,0.0,NULL
2022-04-25,3558.0,3584.0,3533.10009765625,3548.199951171875,3506.106201171875,1960694,3672.8324951171876,3657.586982421875,1,0.0,NULL
2022-04-26,3575.14990234375,3587.89990234375,3518.14990234375,3546.300048828125,3504.22900390625,1943469,3664.775,3653.301982421875,1,0.0,NULL
2022-04-27,3546.0,3568.449951171875,3506.300048828125,3561.199951171875,3518.9521484375,1727648,3657.45,3649.1189794921875,1,0.0,NULL
2022-04-28,3588.0,3604.39990234375,3538.050048828125,3584.300048828125,3541.778076171875,1703660,3651.397497558594,3646.9059814453126,1,0.0,NULL
2022-04-29,3597.0,3623.25,3536.85009765625,3546.699951171875,3504.6240234375,2051115,3642.154992675781,3643.16498046875,0,-1.0,NULL
2022-05-02,3519.89990234375,3547.949951171875,3492.75,3542.39990234375,3500.375244140625,1324161,3632.277490234375,3637.6569775390626,0,0.0,NULL
2022-05-04,3538.5,3545.449951171875,3465.300048828125,3479.75,3438.46826171875,2305825,3618.327490234375,3630.9899755859374,0,0.0,NULL
2022-05-05,3512.10009765625,3533.0,3485.35009765625,3513.39990234375,3471.718994140625,1612262,3605.47998046875,3625.573974609375,0,0.0,NULL
2022-05-06,3459.0,3474.5,3424.5,3432.60009765625,3391.8779296875,2010812,3586.369982910156,3618.347978515625,0,0.0,NULL
2022-05-09,3398.0,3456.0,3346.85009765625,3445.10009765625,3404.2294921875,2481830,3570.8574829101562,3612.861982421875,0,0.0,NULL
2022-05-10,3434.0,3464.800048828125,3422.0,3438.75,3397.954833984375,1622685,3558.5874877929687,3609.908984375,0,0.0,NULL
2022-05-11,3435.0,3448.449951171875,3382.14990234375,3412.0,3371.522216796875,1841769,3544.904992675781,3606.8729833984376,0,0.0,NULL
2022-05-12,3378.0,3449.699951171875,3350.10009765625,3408.64990234375,3368.2119140625,2807195,3530.5174926757813,3607.0129833984374,0,0.0,NULL
2022-05-13,3435.0,3439.89990234375,3382.14990234375,3414.89990234375,3374.3876953125,2187823,3516.707482910156,3604.8959814453124,0,0.0,NULL
2022-05-16,3415.0,3430.0,3366.60009765625,3376.800048828125,3336.73974609375,1195813,3502.449987792969,3601.3479833984375,0,0.0,NULL
2022-05-17,3370.0,3467.0,3350.39990234375,3451.60009765625,3410.652587890625,1754076,3498.627490234375,3599.4569873046876,0,0.0,NULL
2022-05-18,3465.0,3495.0,3443.050048828125,3448.800048828125,3407.885498046875,1866781,3497.4724975585937,3597.544990234375,0,0.0,NULL
2022-05-19,3397.0,3405.0,3230.0,3261.949951171875,3223.25244140625,4642963,3482.7299926757814,3592.2969873046877,0,0.0,NULL
2022-05-20,3310.0,3313.89990234375,3270.050048828125,3293.0,3253.933837890625,3065125,3465.9474975585936,3588.4589892578124,0,0.0,NULL
2022-05-23,3304.800048828125,3338.89990234375,3267.0,3321.75,3282.3427734375,2293690,3451.4074951171874,3582.894990234375,0,0.0,NULL
2022-05-24,3315.14990234375,3324.85009765625,3275.60009765625,3288.0,3248.9931640625,1711510,3438.397497558594,3576.00298828125,0,0.0,NULL
2022-05-25,3292.85009765625,3292.85009765625,3154.050048828125,3167.64990234375,3151.1552734375,3548046,3419.464990234375,3566.9369873046876,0,0.0,NULL
2022-05-26,3191.0,3241.5,3180.550048828125,3226.949951171875,3210.146484375,2813186,3402.752490234375,3559.49298828125,0,0.0,NULL
2022-05-27,3253.199951171875,3278.89990234375,3229.199951171875,3261.300048828125,3244.317626953125,3103153,3386.602490234375,3551.8589892578125,0,0.0,NULL
2022-05-30,3297.0,3386.60009765625,3286.35009765625,3375.25,3357.67431640625,2094624,3378.029992675781,3547.4859912109373,0,0.0,NULL
2022-05-31,3354.14990234375,3383.39990234375,3325.0,3364.35009765625,3346.831298828125,4840965,3369.1275024414062,3541.6549951171874,0,0.0,NULL
2022-06-01,3388.0,3388.0,3340.050048828125,3355.199951171875,3337.728515625,1493835,3362.9,3535.303994140625,0,0.0,NULL
2022-06-02,3355.0,3432.0,3346.300048828125,3423.0,3405.175537109375,2657939,3358.3800048828125,3531.2299951171876,0,0.0,NULL
2022-06-03,3459.39990234375,3477.300048828125,3431.199951171875,3440.14990234375,3422.236083984375,1913622,3358.7574951171873,3526.013994140625,0,0.0,NULL
2022-06-06,3418.0,3453.0,3377.14990234375,3430.949951171875,3413.084228515625,1084210,3358.0499877929688,3520.3849951171874,0,0.0,NULL
2022-06-07,3401.050048828125,3418.85009765625,3356.0,3362.699951171875,3345.189697265625,2308256,3354.2474853515623,3512.6419921875,0,0.0,NULL
2022-06-08,3380.14990234375,3413.949951171875,3346.5,3404.14990234375,3386.423828125,2185707,3353.85498046875,3506.5759912109374,0,0.0,NULL
2022-06-09,3385.0,3437.0,3353.10009765625,3427.10009765625,3409.25439453125,1279197,3354.777490234375,3500.963994140625,0,0.0,NULL
2022-06-10,3382.0,3393.0,3352.0,3359.89990234375,3342.404052734375,1527582,3352.027490234375,3494.054990234375,0,0.0,NULL
2022-06-13,3290.0,3293.0,3192.449951171875,3219.60009765625,3202.8349609375,3030921,3344.1674926757814,3483.8159912109377,0,0.0,NULL
2022-06-14,3190.0,3238.89990234375,3174.699951171875,3210.550048828125,3193.831787109375,2611493,3332.114990234375,3473.2279931640624,0,0.0,NULL
2022-06-15,3218.5,3234.0,3201.0,3206.300048828125,3189.60400390625,1404536,3319.989990234375,3462.178994140625,0,0.0,NULL
2022-06-16,3240.0,3244.85009765625,3133.050048828125,3142.0,3125.638671875,2032028,3313.9924926757812,3449.6119921875,0,0.0,NULL
2022-06-17,3092.0,3118.75,3023.85009765625,3088.89990234375,3072.815185546875,5240434,3303.787487792969,3435.0939892578126,0,0.0,NULL
2022-06-20,3094.0,3138.75,3069.0,3112.39990234375,3096.19287109375,1502769,3293.3199829101563,3422.2349853515625,0,0.0,NULL
2022-06-21,3130.0,3237.75,3125.39990234375,3211.949951171875,3195.224609375,2964461,3289.51748046875,3412.790986328125,0,0.0,NULL
2022-06-22,3199.89990234375,3250.550048828125,3183.0,3222.949951171875,3206.167236328125,3336315,3292.2824829101564,3403.5369873046875,0,0.0,NULL
2022-06-23,3222.949951171875,3318.0,3222.949951171875,3308.800048828125,3291.5703125,3692578,3296.3749877929686,3395.784990234375,0,0.0,NULL
2022-06-24,3339.0,3345.0,3277.5,3293.10009765625,3275.9521484375,2132118,3297.964990234375,3387.824990234375,0,0.0,NULL
